Maturity,Number_of_Observations,Kappa,Theta,Sigma,Theta_Percent,Sigma_Percent,Half_Life_Years,Half_Life_Business_Days,Log_Likelihood,AIC,Optimization_Success
6M,8505,0.08937451760564322,0.01972638629588062,0.006333036407646078,1.972638629588062,0.6333036407646078,7.755534789215792,1954.3947668823796,54373.85733016155,-108741.7146603231,True
1Y,8505,0.09961316565100994,0.020642840797861182,0.006988935848519039,2.0642840797861184,0.6988935848519039,6.958389245336845,1753.514089824885,53535.85905161745,-107065.7181032349,True
2Y,8505,0.12556533424187005,0.023675502514887675,0.008726258875726325,2.3675502514887676,0.8726258875726325,5.520211328588283,1391.0932548042472,51648.13889592359,-103290.27779184718,True
3Y,8505,0.13665980101587133,0.025787458163144154,0.009172061265400312,2.5787458163144152,0.9172061265400312,5.072063440802499,1278.15998708223,51224.505615108166,-102443.01123021633,True
5Y,8505,0.14907462361184634,0.02976622637956329,0.009567796819420967,2.976622637956329,0.9567796819420967,4.649665810089382,1171.7157841425242,50865.52327715661,-101725.04655431322,True
7Y,8505,0.15564082659943226,0.03282857193595744,0.009557009149322483,3.282857193595744,0.9557009149322483,4.453504878535988,1122.283229391069,50875.21564413198,-101744.43128826396,True
10Y,8505,0.15236889333405276,0.034931007971488535,0.00909985437607392,3.4931007971488537,0.9099854376073919,4.549138379841698,1146.382871720108,51292.08213148455,-102578.1642629691,True
